sample_id,depth_m,porosity_pct,permeability_md,water_saturation_pct
C-001,2450.9,20.48,4.9,65.4
C-002,2451.4,17.31,3.3,58.1
C-003,2453.8,21.24,3.9,68.7
C-004,2458.9,25.62,8.1,37.5
C-005,2460.5,16.83,5.6,71.0
C-006,2464.6,16.83,7.7,83.9
C-007,2467.0,25.9,16.8,40.3
C-008,2468.9,21.84,15.4,51.8
C-009,2470.4,15.65,3.4,69.5
C-010,2472.1,20.71,4.7,54.6
C-011,2476.4,15.68,3.5,56.2
C-012,2481.1,15.67,7.0,69.2
C-013,2482.9,19.21,5.1,53.1
C-014,2483.4,8.43,1.9,86.9
C-015,2488.2,9.38,0.2,73.9
C-016,2491.3,15.19,4.2,82.0
C-017,2492.1,12.94,1.8,67.9
C-018,2496.3,19.57,4.7,58.3
C-019,2498.9,13.46,2.0,79.6
C-020,2499.8,10.94,0.4,68.3
C-021,2504.8,25.33,13.8,51.2
C-022,2507.8,16.87,4.3,76.7
C-023,2511.3,18.34,10.9,50.5
C-024,2514.0,10.88,0.9,79.7
C-025,2513.0,15.28,1.6,71.5
C-026,2516.4,18.55,3.4,69.2
C-027,2521.3,12.25,2.6,65.6
C-028,2524.0,19.88,7.2,49.7
C-029,2526.7,15.0,1.8,74.2
C-030,2534.4,16.54,4.4,69.3
C-031,2532.2,14.99,2.6,72.0
C-032,2535.8,27.26,40.0,48.3
C-033,2538.2,17.93,2.7,58.7
C-034,2540.5,12.71,1.3,76.4
C-035,2541.7,22.11,7.0,58.1
C-036,2546.1,11.9,0.6,70.5
C-037,2546.5,19.04,6.1,76.8
C-038,2550.0,8.2,0.8,87.4
C-039,2552.3,11.36,1.3,67.7
C-040,2555.9,18.98,4.4,67.3
C-041,2561.9,21.69,3.5,48.8
C-042,2558.4,18.86,3.8,68.6
C-043,2564.9,17.42,3.1,74.4
C-044,2564.2,16.49,2.0,60.5
C-045,2568.6,10.61,1.0,86.5
C-046,2573.7,14.4,2.8,74.5
C-047,2574.8,15.7,8.7,75.2
C-048,2575.8,23.29,12.1,68.6
C-049,2579.1,19.72,6.7,58.6
C-050,2583.9,9.18,0.8,75.6
C-051,2584.5,19.62,1.8,53.6
C-052,2588.6,16.07,2.9,61.3
C-053,2591.1,14.62,2.4,70.1
C-054,2592.8,21.06,32.1,60.6
C-055,2599.7,23.15,9.5,55.9
C-056,2600.1,22.66,11.7,61.3
C-057,2598.8,13.8,1.9,72.5
C-058,2604.9,16.45,1.6,78.7
C-059,2606.3,19.66,11.3,58.6
C-060,2611.3,22.88,16.0,76.0
